Number of Variables;1;
Variables:;
0;;r;

Number of Block duas;3;
Line Duas for method; readBits;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;535;536;537;2;r;
2;535;536;539;2;r;
3;535;;539;2;r;

Block Duas for method; readBits;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;r;
;535;536;537;2;r;
2;0;0;1;0;r;
;535;536;539;2;r;
3;0;;1;0;r;
;535;;539;2;r;
